61,弟茂德前書,弟前,弟茂德前书,弟前,1 Timothy,1Tm,6,1_Timothy_bible_index.html
62,弟茂德後書,弟後,弟茂德后书,弟后,2 Timothy,2Tm,4,2_Timothy_bible_index.html
63,弟鐸書,鐸,弟铎书,铎,Titus,Tt,3,Titus_bible_index.html
64,費肋孟書,費,费肋孟书,费,Philemon,Phm,1,Philemon_bible_index.html
65,希伯來書,希,希伯来书,希,Hebrews,Heb,13,Hebrews_bible_index.html
66,雅各伯書,雅,雅各伯书,雅,James,Jm,5,James_bible_index.html
67,伯多祿前書,伯前,伯多禄前书,伯前,1 Peter,1P,5,1_Peter_bible_index.html
68,伯多祿後書,伯後,伯多禄后书,伯后,2 Peter,2P,3,2_Peter_bible_index.html
69,若望一書,若一,若望一书,若一,1 John,1Jn,5,1_John_bible_index.html
70,若望二書,若二,若望二书,若二,2 John,2Jn,1,2_John_bible_index.html
71,若望三書,若三,若望三书,若三,3 John,3Jn,1,3_John_bible_index.html
72,猶達書,猶,犹达书,犹,Jude,Ude,1,Jude_bible_index.html
73,若望默示錄,默,若望默示录,默,Revelation,Rv,22,Revelation_bible_index.html
